road,chainage,lrp,lat,lon,gap,type,name,is_intersection,model_type
N1,14.524,LRP015,23.670916,90.5597778,,KmPost,Km post missing,False,nan
N1,14.563,LRP015a,23.6705827,90.5599722,,Culvert,Box culvert,False,nan
N1,15.524,LRP016,23.6628333,90.5641111,,KmPost,Km post missing,False,nan
N1,15.935,LRP016a,23.6604167,90.5671104,,"SideRoad,Right",Road to MinanbariZ1061),False,nan
N1,16.242,LRP016b,23.6591111,90.5697216,BS,Bridge,Langalbandhu bridge,False,nan
N1,16.402,LRP016c,23.6583056,90.5709993,BE,Bridge,Bridge end,False,nan
N1,16.524,LRP017,23.6575,90.5719716,,KmPost,Km post missing,False,nan
N1,16.831,LRP017a,23.6559722,90.5743327,BS,Bridge,Bridge start,False,nan
N1,16.852,LRP017b,23.6559167,90.5745271,BE,Bridge,Bridge end,False,nan
N1,17.204,LRP017c,23.6540556,90.5772771,BS,Bridge,Bridge start,False,nan
N1,17.234,LRP017d,23.6539167,90.5774993,BE,Bridge,Bridge end,False,nan
N1,17.524,LRP018,23.6525278,90.5798882,,KmPost,Km post missing,False,nan
N1,17.863,LRP018a,23.6508889,90.5826382,BS,Bridge,Bridge start,False,nan
N1,17.904,LRP018b,23.6506944,90.5829993,BE,Bridge,Bridge end,False,nan
N1,18.524,LRP019,23.6476108,90.588083,,KmPost,Km post missing,False,nan
N1,18.878,LRP019a,23.6449441,90.5899163,,Culvert,Box culvert,False,nan
N1,19.521,LRP019b,23.6397497,90.5926941,,Culvert,Box culvert,False,nan
N1,19.524,LRP020,23.6396941,90.5927219,,KmPost,Km post missing,False,nan
N1,20.044,LRP020a,23.6358608,90.5948052,,"SideRoad,Left",Left to Sonargaon (Z1089) Right to Morgrapara ( Z1066),False,nan
N1,20.342,LRP020b,23.6341108,90.5970274,BS,Bridge,Bridge start,True,intersection
N1,20.442,LRP020c,23.6335552,90.5976941,BE,Bridge,Bridge end,False,nan
N1,20.524,LRP021,23.6330549,90.5982774,,KmPost,Km post missing,False,nan
N1,21.499,LRP021a,23.6262771,90.6042222,,Culvert,Box culvert,False,nan
N1,21.629,LRP022,23.6252216,90.6049722,,KmPost,"Ctg 238 km,Comilla 71 km",False,nan
N1,21.765,LRP022a,23.6242216,90.6055278,BS,Bridge,Bridge start,False,nan
N1,21.993,LRP022b,23.6224993,90.6066944,BE,Bridge,Bridge end,False,nan
N1,22.252,LRP022c,23.6204716,90.6079722,BS,Bridge,Bridge start,False,nan
N1,22.374,LRP022d,23.6195271,90.6085833,BE,Bridge,Bridge end,False,nan
N1,22.629,LRP023,23.6173604,90.6096944,,KmPost,Km post missing,False,nan
N1,23.564,LRP023a,23.6095556,90.6121944,,Bridge,Meghna  bridge,False,nan
N1,23.629,LRP024,23.609,90.6124722,,KmPost,Km post missing,False,nan
N1,24.503,LRP024a,23.6018611,90.6159722,,Bridge,Bridge end,False,nan
N1,24.629,LRP025,23.6009444,90.6165556,,KmPost,Km post missing,False,nan
N1,25.629,LRP026,23.5959997,90.624666,,KmPost,Km post missing,False,nan
N1,25.639,LRP026a,23.5959441,90.6246938,,Culvert,Box culvert,False,nan
N1,26.313,LRP026b,23.5917497,90.6293327,,Culvert,Box culvert,False,nan
N1,26.629,LRP027,23.5896108,90.6313882,,KmPost,Km post missing,False,nan
N1,27.503,LRP027a,23.5837497,90.6369441,,Bridge,Bridge start,False,nan
N1,27.629,LRP028,23.5828327,90.6378886,,KmPost,Km post missing,False,nan
N1,27.668,LRP028a,23.5825827,90.6381386,BS,Bridge,Bridge end,False,nan
N1,28.324,LRP028b,23.577916,90.6419719,BE,Bridge,Bridge start,False,nan
N1,28.363,LRP028c,23.5776104,90.6421108,,Bridge,Bridge end,False,nan
N1,28.759,LRP029,23.5745271,90.6436941,,KmPost,Information missing,False,nan
N1,29.067,LRP029a,23.572166,90.6451108,BS,Bridge,Bridge start,False,nan
N1,29.113,LRP029b,23.5718327,90.6453052,BE,Bridge,Bridge end,False,nan
N1,29.759,LRP030,23.5666111,90.6481663,,KmPost,Km post missing,False,nan
N1,30.127,LRP030a,23.5639167,90.6501944,BS,Bridge,Bridge start,False,nan
N1,30.165,LRP030b,23.5636944,90.6504722,BE,Bridge,Bridge end,False,nan
N1,30.697,LRP030c,23.5604167,90.6542222,BS,Bridge,Bridge start,False,nan
N1,30.735,LRP030d,23.5602222,90.6545,BE,Bridge,Bridge end,False,nan
N1,30.774,LRP031,23.5599722,90.6548056,,KmPost,"Ctg 229 km,Comilla 62 km",False,nan
N1,30.936,LRP031a,23.5590278,90.6559444,,"SideRoad,Right",Road to Gazara (Z1063),False,nan
N1,31.348,LRP031b,23.5564444,90.6588611,BS,Bridge,Bridge start,False,nan
N1,31.388,LRP031c,23.5562222,90.6591389,BE,Bridge,Bridge end,False,nan
N1,31.783,LRP032,23.5538056,90.6619722,,KmPost,"Ctg 228 km,Comilla 61 km",False,nan
N1,32.025,LRP032a,23.5523333,90.6636667,,Culvert,Box culvert,False,nan
N1,32.607,LRP033,23.5487497,90.6678327,,KmPost,"Ctg 227 km,Comilla 60 km",False,nan
N1,32.831,LRP033a,23.5474163,90.6694438,BS,Bridge,Bridge start,False,nan
N1,32.908,LRP033b,23.5469441,90.6699993,BE,Bridge,Bridge end,False,nan
N1,33.351,LRP033c,23.5442219,90.6731104,,Culvert,Box culvert,False,nan
N1,33.607,LRP034,23.542583,90.6749438,,KmPost,Km post missing,False,nan
N1,34.607,LRP035,23.5362497,90.681916,,KmPost,Km post missing,False,nan
N1,34.641,LRP035a,23.536083,90.6821382,BS,Bridge,Bridge start,False,nan
N1,34.681,LRP035b,23.5358608,90.6823604,BE,Bridge,Bridge end,False,nan
N1,34.956,LRP035c,23.5341386,90.6843052,,Culvert,Box culvert,False,nan
N1,35.607,LRP036,23.5301938,90.688833,,KmPost,Km post missing,False,nan
N1,36.271,LRP036a,23.529916,90.6952219,,Bridge,Daudkandi bridge,False,nan
N1,36.607,LRP037,23.5301382,90.6984997,,KmPost,Km post missing,False,nan
N1,37.607,LRP038,23.5307493,90.7082778,,KmPost,Km post missing,False,nan
N1,37.685,LRP038a,23.5307771,90.7090278,,Bridge,Daudkandi bridge,False,nan
N1,38.04,LRP038b,23.5313882,90.7153611,,Others / Others,Start of Comilla road Division / Start of Comilla road Division,False,nan
N1,38.466,LRP038c,23.5314716,90.7172216,,"SideRoad,Right",Road to Matlab (Z1062),False,nan
N1,38.543,LRP038d,23.5315271,90.7173604,BS,Bridge,Bridge start,False,nan
N1,38.56,LRP038e,23.5315827,90.7176104,BE,Bridge,Bridge end,False,nan
N1,38.607,LRP039,23.5317216,90.7180271,,KmPost,Km post missing,False,nan
N1,39.12,LRP039a,23.5322346,90.7226298386,,Culvert,Box culvert,False,nan
N1,39.607,LRP040,23.5327216,90.7269993,,KmPost,Km post missing,False,nan
N1,40.607,LRP041,23.528916,90.7356108,,KmPost,Km post missing,False,nan
N1,41.261,LRP042,23.5289993,90.7419441,,KmPost,Ctg 214 km,False,nan
N1,42.228,LRP042a,23.5293882,90.7514167,BS,Bridge,Bridge start,False,nan
N1,42.245,LRP042b,23.5293882,90.7515833,BE,Bridge,Bridge end,False,nan
N1,42.269,LRP043,23.529416,90.75175,,KmPost,Km post broken,False,nan
N1,43.269,LRP044,23.5299993,90.7615,,KmPost,Km post Missing,False,nan
N1,44.269,LRP045,23.5304438,90.7713049,,KmPost,Km post Missing,False,nan
N1,44.454,LRP045a,23.5304993,90.7731104,,Culvert,Box culvert,False,nan
N1,45.269,LRP046,23.5308049,90.7811104,,KmPost,Km post Missing,False,nan
N1,45.322,LRP046a,23.5307493,90.7816104,,"SideRoad,Right","Z1402, road to Pennai",False,nan
N1,45.388,LRP046b,23.530666,90.7821938,,"SideRoad,Left","Z1053, Road to Homna",False,nan
N1,46.161,LRP046c,23.5312216,90.7895552,,Culvert,Box culvert,False,nan
N1,46.269,LRP047,23.531166,90.7907219,,KmPost,Km post Missing,False,nan
N1,47.224,LRP047a,23.5306938,90.7924441,,"SideRoad,Right",Z1044,False,nan
N1,47.269,LRP048,23.5308604,90.8002222,,KmPost,Km post Missing,False,nan
N1,47.672,LRP048a,23.5308882,90.8041389,BS,Bridge,Bridge start,False,nan
N1,47.692,LRP048b,23.530916,90.8043611,BE,Bridge,Bridge end,False,nan
N1,48.269,LRP049,23.5316382,90.8099167,,KmPost,Km post Missing,False,nan
N1,49.269,LRP050,23.5332493,90.8194716,,KmPost,Km post Missing,False,nan
N1,49.863,LRP050a,23.5346663,90.8249716,BS,Bridge,Bridge start,False,nan
N1,49.879,LRP050b,23.5347219,90.8251104,BE,Bridge,Bridge end,False,nan
N1,50.269,LRP051,23.5344997,90.8287216,,KmPost,Km post Missing,False,nan
N1,51.269,LRP052,23.5292216,90.8365274,,KmPost,Km post Missing,False,nan
N1,51.636,LRP052a,23.5270549,90.8391386,,Culvert,Box culvert,False,nan
N1,52.269,LRP053,23.523166,90.8438886,,KmPost,Km post Missing,False,nan
N1,53.269,LRP054,23.5174993,90.8513889,,KmPost,Km post Missing,False,nan
N1,54.269,LRP055,23.5170827,90.8607778,,KmPost,Km post Missing,False,nan
N1,55.269,LRP056,23.5135833,90.8697771,,KmPost,Km post Missing,False,nan
N1,55.333,LRP056a,23.5133056,90.8703049,BS,Bridge,Bridge start,False,nan
N1,55.375,LRP056b,23.5131111,90.8706382,BE,Bridge,Bridge end,False,nan
N1,55.477,LRP056c,23.5126667,90.871416,,"SideRoad,Left","Z1042, road to Bancharampur",False,nan
N1,56.269,LRP057,23.5088056,90.8778604,,KmPost,Km post Missing,False,nan
N1,57.269,LRP058,23.506,90.8869163,,KmPost,Km post Missing,False,nan
N1,58.191,LRP058a,23.5056111,90.8958886,,Culvert,Box culvert,False,nan
N1,58.269,LRP059,23.5056389,90.8966108,,KmPost,Km post Missing,False,nan
N1,59.269,LRP060,23.5062778,90.9063889,,KmPost,Km post Missing,False,nan
N1,60.18,LRP060a,23.50575,90.91525,,Culvert,Box culvert,False,nan
N1,60.269,LRP061,23.5057222,90.9160278,,KmPost,Km post Missing,False,nan
N1,61.269,LRP062,23.5055278,90.9257216,,KmPost,Km post Missing,False,nan
N1,62.269,LRP063,23.5042778,90.9354163,,KmPost,Km post Missing,False,nan
N1,62.278,LRP063a,23.5043333,90.9354719,,"SideRoad,Left","Z1017, Road to Companiganj",False,nan
N1,62.542,LRP063b,23.5038611,90.9371386,,Culvert,Box culvert,False,nan
N1,62.894,LRP063c,23.5028611,90.9412774,,Culvert,Box culvert,False,nan
N1,63.269,LRP064,23.5020278,90.9448886,,KmPost,Km post Missing,False,nan
N1,64.269,LRP065,23.4995274,90.9541667,,KmPost,Km post Missing,False,nan
N1,65.269,LRP066,23.4986386,90.9651111,,KmPost,Km post Missing,False,nan
N1,65.543,LRP066a,23.4980552,90.9660278,,Culvert,Box culvert,False,nan
N1,65.726,LRP067,23.4972774,90.9674716,,KmPost,Ctg 191 km,False,nan
N1,66.726,LRP068,23.4942219,90.9765549,,KmPost,Km post Missing,False,nan
N1,67.42,LRP068a,23.4951386,90.9829993,,Culvert,Box culvert,False,nan
N1,67.726,LRP069,23.4942497,90.985833,,KmPost,Km post Missing,False,nan
N1,68.726,LRP070,23.4911386,90.9950274,,KmPost,Km post Missing,False,nan
N1,69.616,LRP070a,23.4894441,91.0033056,,"SideRoad,Left",Road to Debiduar (Z1008),False,nan
N1,69.638,LRP070b,23.4893886,91.0034722,,"SideRoad,Right",Road to Jhalam (Z1022),False,nan
N1,69.709,LRP071,23.4896108,91.0043056,,KmPost,Ctg 188 km,False,nan
N1,70.443,LRP072,23.4893052,91.0112778,,KmPost,"Ctg 188 km,Comilla 20 km",False,nan
N1,70.527,LRP072a,23.4890552,91.0120278,BS,Bridge,Bridge start,False,nan
N1,70.557,LRP072b,23.4889441,91.01225,BE,Bridge,Bridge end,True,intersection
N1,70.755,LRP073,23.488333,91.0140833,,KmPost,Ctg 187 km,False,nan
N1,71.775,LRP074,23.4846386,91.0229438,,KmPost,Km post missing,False,nan
N1,72.775,LRP075,23.4827771,91.0321382,,KmPost,Km post missing,False,nan
N1,73.688,LRP075a,23.481166,91.0404441,,Culvert,Box culvert,False,nan
N1,73.829,LRP076,23.4814716,91.0419719,,KmPost,Ctg 184 km,False,nan
N1,74.7,LRP076a,23.4820827,91.0504167,,Culvert,Box culvert,False,nan
N1,74.829,LRP077,23.4821382,91.0516944,,KmPost,Km post missing,False,nan
N1,75.589,LRP077a,23.4815271,91.0590278,,"SideRoad,Left",Road to Khangsanagar (Z1219) left road to Barua Z1028 right,False,nan
N1,75.829,LRP078,23.4815549,91.0613611,,KmPost,Km post missing,False,nan
N1,76.829,LRP079,23.4801104,91.0706382,,KmPost,Km post missing,False,nan
N1,77.773,LRP079a,23.4770827,91.0789993,,Culvert,Box culvert,False,nan
N1,77.829,LRP080,23.4770271,91.0794716,,KmPost,Km post missing,False,nan
N1,78.829,LRP081,23.4781938,91.0889997,,KmPost,Km post missing,False,nan
N1,79.829,LRP082,23.4775549,91.0986663,,KmPost,Km post missing,False,nan
N1,80.342,LRP082a,23.4778604,91.1036111,,Culvert,Box culvert,False,nan
N1,80.829,LRP083,23.4779993,91.1055278,,KmPost,Km post missing,False,nan
N1,81.801,LRP083a,23.4789438,91.1177216,,Culvert,Box culvert,False,nan
N1,81.829,LRP084,23.4789716,91.1179993,,KmPost,Km post missing,False,nan
N1,81.846,LRP084a,23.4789716,91.118166,,"SideRoad,Left",Road to Brahmanbaria(N102),False,nan
N1,82.393,LRP084b,23.4793327,91.1234716,,Culvert,Box culvert,False,nan
N1,82.829,LRP085,23.4800827,91.1276382,,KmPost,Km post missing,False,nan
N1,83.829,LRP086,23.4767216,91.1364441,,KmPost,Km post missing,False,nan
N1,84.829,LRP087,23.4682216,91.1394441,,KmPost,Km post missing,False,nan
N1,85.829,LRP088,23.4595833,91.1421386,,KmPost,Km post missing,False,nan
N1,85.897,LRP088a,23.459,91.142333,,CrossRoad,Cross road Z1029,False,nan
N1,86.829,LRP089,23.4513056,91.1460552,,KmPost,Km post missing,False,nan
N1,87.132,LRP089a,23.448833,91.1471386,BS,Bridge,Bridge start,False,nan
N1,87.156,LRP089b,23.4486386,91.1472497,BE,Bridge,Bridge end,False,nan
N1,87.366,LRP089c,23.4469441,91.1481386,,CrossRoad,Cross Road with Z1052,False,nan
N1,87.829,LRP090,23.4425274,91.1497774,,KmPost,Km post missing,False,nan
N1,88.513,LRP091,23.4373886,91.1521944,,KmPost,Ctg 170 km,False,nan
N1,89.513,LRP092,23.4288882,91.1553889,,KmPost,Km post missing,False,nan
N1,90.493,LRP093,23.4236938,91.1626944,,KmPost,Ctg 168 km,False,nan
N1,90.521,LRP093a,23.4235827,91.1629722,BS,Bridge,Bridge start,False,nan
N1,90.558,LRP093b,23.423416,91.1632778,BE,Bridge,Bridge end,False,nan
N1,91.066,LRP093c,23.4213604,91.167666,,RailRoadCrossing,Rail Road Crossing,False,nan
N1,91.493,LRP094,23.4195271,91.171416,,KmPost,Km post missing,False,nan
N1,91.583,LRP094a,23.4191382,91.1721938,,CrossRoad,Left to Comilla Right to Noakhali,False,nan
N1,92.121,LRP095,23.4149444,91.1801382,,KmPost,"Ctg 66 km,Feni 52 km",False,nan
N1,92.632,LRP095a,23.4131111,91.1846663,BS,Bridge,Bridge start,False,nan
N1,92.66,LRP095b,23.4130556,91.1849163,BE,Bridge,Bridge end,False,nan
N1,93.121,LRP096,23.4125,91.1893886,,KmPost,Km post missing,False,nan
N1,94.129,LRP097,23.4113056,91.1988886,,KmPost,Ctg 164 km,False,nan
N1,95.156,LRP098,23.4100833,91.2087778,,KmPost,Ctg 163 km,False,nan
N1,95.193,LRP098a,23.4100278,91.2090833,,Culvert,Box culvert,False,nan
N1,96.173,LRP099,23.4048056,91.2165278,,KmPost,Ctg 162 km,False,nan
N1,96.345,LRP099a,23.40375,91.2176382,BS,Bridge,Bridge start,False,nan
N1,96.374,LRP099b,23.4035556,91.2178049,BE,Bridge,Bridge end,False,nan
N1,97.173,LRP100,23.398213447804338,91.22288776581436,,KmPost,Km post missing,False,nan
N1,98.173,LRP101,23.3915274,91.2292493,,KmPost,Km post missing,False,nan
N1,98.183,LRP101a,23.3914441,91.2293049,,Culvert,Box culvert,False,nan
N1,99.075,LRP101b,23.385083,91.2345552,,Culvert,Box culvert,False,nan
N1,99.09,LRP101c,23.3849719,91.2346108,,Culvert,Box culvert,False,nan
N1,99.173,LRP102,23.3843886,91.2351108,,KmPost,Km post missing,False,nan
N1,100.071,LRP102a,23.3779716,91.2403608,BS,Bridge,Bridge start,False,nan
N1,100.101,LRP102b,23.3777493,91.2405274,BE,Bridge,Bridge end,False,nan
N1,100.173,LRP103,23.377166,91.2409163,,KmPost,Km post missing,False,nan
N1,101.173,LRP104,23.3695827,91.2462774,,KmPost,Km post missing,False,nan
N1,101.344,LRP104a,23.3683327,91.2471108,,Culvert,Box culvert,False,nan
N1,102.248,LRP105,23.3615278,91.2515556,,KmPost,"Ctg 156 km,Feni 43 km",False,nan
N1,102.614,LRP105a,23.3586389,91.25325,BS,Bridge,Bridge start,False,nan
N1,102.638,LRP105b,23.3584444,91.2533333,BE,Bridge,Bridge end,False,nan
N1,103.248,LRP106,23.3536944,91.2561389,,KmPost,Km post missing,False,nan
N1,103.935,LRP106a,23.3486386,91.2599444,,Culvert,Box culvert,False,nan
N1,104.248,LRP107,23.3463608,91.2616944,,KmPost,Km post missing,False,nan
N1,105.248,LRP108,23.3390552,91.2672216,,KmPost,Km post missing,False,nan
N1,105.692,LRP108a,23.3360274,91.2700549,BS,Bridge,Bridge start,False,nan
N1,105.736,LRP108b,23.3357219,91.2703049,BE,Bridge,Bridge end,False,nan
N1,105.879,LRP108c,23.3347219,91.271166,,"SideRoad,Right",Road to Harishchar (Z1046),False,nan
N1,106.248,LRP109,23.3321938,91.2734716,,KmPost,Km post missing,False,nan
N1,107.248,LRP110,23.3246382,91.278666,,KmPost,Km post missing,False,nan
N1,107.321,LRP110a,23.324166,91.2791104,BS,Bridge,Bridge start,False,nan
N1,107.331,LRP110b,23.3240827,91.279166,BE,Bridge,Bridge end,False,nan
N1,108.248,LRP111,23.3171382,91.2836941,,KmPost,Km post missing,False,nan
N1,108.518,LRP111a,23.3149444,91.2844719,BS,Bridge,Bridge start,False,nan
N1,108.537,LRP111b,23.31475,91.2845552,BE,Bridge,Bridge end,False,nan
N1,109.135,LRP111c,23.3096389,91.2861386,,Culvert,Box culvert,False,nan
N1,109.248,LRP112,23.3086944,91.2864163,,KmPost,Km post missing,False,nan
N1,109.795,LRP112a,23.30425,91.288583,,Culvert,Box culvert,False,nan
N1,110.248,LRP113,23.3006111,91.290333,,KmPost,Km post missing,False,nan
N1,110.767,LRP113a,23.296083,91.2914997,BS,Bridge,Bridge start,False,nan
N1,110.781,LRP113b,23.2959719,91.2915274,BE,Bridge,Bridge end,False,nan
N1,111.248,LRP114,23.2919163,91.2922219,,KmPost,Km post missing,False,nan
N1,111.75,LRP114a,23.2876663,91.2936386,,Culvert,Box culvert,False,nan
N1,112.248,LRP115,23.283583,91.2952219,,KmPost,Km post missing,False,nan
N1,113.022,LRP115a,23.2787216,91.3002778,,Culvert,Box culvert,False,nan
N1,113.248,LRP116,23.2768882,91.3011944,,KmPost,Km post missing,False,nan
N1,114.248,LRP117,23.2686382,91.3049722,,KmPost,Km post missing,False,nan
N1,114.364,LRP117a,23.2677493,91.3054722,,Culvert,Box culvert,False,nan
N1,114.641,LRP117b,23.2654444,91.3064444,,Culvert,Box culvert,False,nan
N1,114.844,LRP117c,23.2636667,91.30675,,Culvert,Box culvert,False,nan
N1,115.248,LRP118,23.2601111,91.3072778,,KmPost,Km post missing,False,nan
N1,115.404,LRP118a,23.2587222,91.3074444,,Culvert,Box culvert,False,nan
N1,116.248,LRP119,23.2511944,91.3086389,,KmPost,Km post missing,False,nan
N1,116.422,LRP119a,23.249833,91.3091944,,Culvert,Box culvert,False,nan
N1,116.608,LRP119b,23.248333,91.3098056,BS,Bridge,Bridge start,False,nan
N1,116.631,LRP119c,23.2481663,91.3098889,BE,Bridge,Bridge end,False,nan
N1,116.978,LRP119d,23.2452774,91.3110556,,Culvert,Box culvert,False,nan
N1,117.248,LRP120,23.243083,91.3119167,,KmPost,Km post missing,False,nan
N1,117.411,LRP120a,23.2416941,91.3123611,,Culvert,Box culvert,True,intersection
N1,118.228,LRP120b,23.2344997,91.3131667,,Culvert,Box culvert,False,nan
N1,118.248,LRP121,23.2343052,91.3131667,,KmPost,Km post missing,False,nan
N1,118.563,LRP121a,23.2314993,91.3132222,,Culvert,Box culvert,False,nan
N1,119.011,LRP121b,23.2275549,91.3135278,,Culvert,Box culvert,False,nan
N1,119.248,LRP122,23.2253882,91.3135833,,KmPost,Km post missing,False,nan
N1,119.698,LRP122a,23.221416,91.3137222,,"SideRoad,Right",Road to Bangadda (Z1045),False,nan
N1,120.026,LRP122b,23.2184993,91.3143889,,Culvert,Box culvert,False,nan
N1,120.248,LRP123,23.2165556,91.3149167,,KmPost,Km post missing,False,nan
N1,120.966,LRP123a,23.2103056,91.3157222,,Culvert,Box culvert,False,nan
N1,121.248,LRP124,23.2078889,91.3159722,,KmPost,Km post missing,False,nan
N1,122.019,LRP124a,23.201,91.3168049,,Culvert,Box culvert,False,nan
N1,122.248,LRP125,23.1990274,91.3170549,,KmPost,Km post missing,False,nan
N1,123.113,LRP125a,23.1921108,91.3185549,,Culvert,Box culvert,False,nan
N1,123.248,LRP126,23.1909997,91.3192493,,KmPost,Km post missing,False,nan
N1,123.771,LRP126a,23.1866941,91.3212493,BS,Bridge,Bridge start,False,nan
N1,123.783,LRP126b,23.1866108,91.3212771,BE,Bridge,Bridge end,False,nan
N1,124.248,LRP127,23.1826382,91.3210827,,KmPost,Km post missing,False,nan
N1,124.862,LRP127a,23.1773604,91.3198049,,Culvert,Box culvert,False,nan
N1,125.377,LRP128,23.172916,91.3205271,,KmPost,Ctg 133 km,False,nan
N1,125.923,LRP128a,23.1681382,91.3213604,BS,Bridge,Bridge start,False,nan
N1,125.937,LRP128b,23.1680549,91.3213604,BE,Bridge,Bridge end,False,nan
N1,126.377,LRP129,23.1641389,91.3214993,,KmPost,Km post missing,False,nan
N1,127.169,LRP129a,23.1571667,91.3224993,,Culvert,Box culvert,False,nan
N1,127.377,LRP130,23.1554167,91.3232771,,KmPost,Km post missing,False,nan
N1,128.009,LRP130a,23.1496941,91.3254993,,"SideRoad,Right",Road to Nangolhat (Z1048),False,nan
N1,128.278,LRP130b,23.1480274,91.3264993,,Culvert,Box culvert,False,nan
N1,128.377,LRP131,23.1471663,91.3266938,,KmPost,Km post missing,False,nan
N1,128.798,LRP131a,23.1433886,91.326666,,Culvert,Box culvert,False,nan
N1,129.377,LRP132,23.1382219,91.3263049,,KmPost,Km post missing,False,nan
N1,129.479,LRP132a,23.1374163,91.3264716,,Culvert,Box culvert,False,nan
N1,130.377,LRP133,23.1295827,91.3284993,,KmPost,Km post missing,False,nan
N1,130.447,LRP133a,23.1290827,91.3287216,,Culvert,Box culvert,False,nan
N1,131.122,LRP133b,23.1234993,91.3311382,,Culvert,Box culvert,False,nan
N1,131.377,LRP134,23.1213327,91.3320549,,KmPost,Km post missing,False,nan
N1,131.625,LRP134a,23.1193049,91.3329993,,Culvert,Box culvert,False,nan
N1,131.653,LRP135,23.1191382,91.3330827,,KmPost,"Ctg 127 km,Feni 16 km",False,nan
N1,132.653,LRP136,23.1113611,91.3378052,,KmPost,Km post missing,False,nan
N1,132.728,LRP136a,23.1108056,91.3381386,,Culvert,Box culvert,False,nan
N1,133.448,LRP136b,23.1051111,91.3413608,,Culvert,Box culvert,False,nan
N1,133.653,LRP137,23.1035,91.3422497,,KmPost,Km post missing,False,nan
N1,134.021,LRP137a,23.1005833,91.3437774,,Culvert,Box culvert,False,nan
N1,134.571,LRP137b,23.0961941,91.3461108,,Culvert,Box culvert,False,nan
N1,134.653,LRP138,23.095583,91.3464441,,KmPost,Km post missing,False,nan
N1,135.341,LRP138a,23.0901108,91.3494163,,Culvert,Box culvert,False,nan
N1,135.653,LRP139,23.0876108,91.3508889,,KmPost,Km post missing,False,nan
N1,135.998,LRP139a,23.0849719,91.3524722,,Culvert,Box culvertt,False,nan
N1,136.525,LRP139b,23.0808049,91.3548611,BS,Bridge,Bridge start,False,nan
N1,136.542,LRP139c,23.0806938,91.3549444,BE,Bridge,Bridge end,False,nan
N1,136.735,LRP140,23.0792493,91.3558333,,KmPost,Ctg 122 km,False,nan
N1,137.501,LRP140a,23.0732493,91.3594167,,Culvert,Box culvert,False,nan
N1,137.735,LRP141,23.0712493,91.3599722,,KmPost,Km post missing,False,nan
